Date,Ticker,Close,Shares,MarketCap
2022-10-05 00:00:00-04:00,AMZN,120.94999694824219,10187599872.0,1232190173428.3125
2022-10-05 00:00:00-04:00,AAPL,,,
2022-10-05 00:00:00-04:00,BIDU,123.26000213623047,326672000.0,40265591417.84668
2022-10-06 00:00:00-04:00,GOOGL,101.41999816894531,13091999744.0,1327790590064.3125
2022-10-06 00:00:00-04:00,TCEHY,33.1362419128418,9670939648.0,320458595700.6211
2022-10-06 00:00:00-04:00,TSLA,,,
2022-10-06 00:00:00-04:00,MSFT,,,
2022-10-06 00:00:00-04:00,META,,,
2022-10-06 00:00:00-04:00,AMD,,,
2022-10-06 00:00:00-04:00,BABA,84.31999969482422,2692039936.0,226992806581.9746
2022-10-06 00:00:00-04:00,AMZN,,,
2022-10-06 00:00:00-04:00,AAPL,,,
2022-10-06 00:00:00-04:00,BIDU,122.66999816894531,351695008.0,43142425987.38721
2022-10-11 00:00:00-04:00,GOOGL,97.18000030517578,13097499648.0,1272815019789.6797
2022-10-11 00:00:00-04:00,TCEHY,30.213844299316406,9705560064.0,293242280611.3594
2022-10-11 00:00:00-04:00,TSLA,,,
2022-10-11 00:00:00-04:00,MSFT,,,
2022-10-11 00:00:00-04:00,META,,,
2022-10-11 00:00:00-04:00,AMD,,,
2022-10-11 00:00:00-04:00,BABA,75.37000274658203,2679770112.0,201974280701.64844
2022-10-11 00:00:00-04:00,AMZN,,,
2022-10-11 00:00:00-04:00,AAPL,,,
2022-10-11 00:00:00-04:00,BIDU,108.66000366210938,355371008.0,38614615030.6875
2022-10-12 00:00:00-04:00,GOOGL,97.55999755859375,13141000192.0,1282035946649.0
2022-10-12 00:00:00-04:00,TCEHY,30.326967239379883,10041700352.0,304534317602.77344
2022-10-12 00:00:00-04:00,TSLA,217.24000549316406,3226970112.0,701027004857.1562
2022-10-12 00:00:00-04:00,MSFT,,,
2022-10-12 00:00:00-04:00,META,127.5,2797319936.0,356658291840.0
2022-10-12 00:00:00-04:00,AMD,,,
2022-10-12 00:00:00-04:00,BABA,75.7300033569336,2817370112.0,213359448039.48438
2022-10-12 00:00:00-04:00,AMZN,,,
2022-10-12 00:00:00-04:00,AAPL,,,
2022-10-12 00:00:00-04:00,BIDU,107.47000122070312,354555008.0,38104027142.56641
2022-10-13 00:00:00-04:00,GOOGL,99.05999755859375,13090700288.0,1296764738569.5625
2022-10-13 00:00:00-04:00,TCEHY,29.667072296142578,9613179904.0,285194903207.79297
2022-10-13 00:00:00-04:00,TSLA,221.72000122070312,3133469952.0,694752961582.4766
2022-10-13 00:00:00-04:00,MSFT,,,
2022-10-13 00:00:00-04:00,META,130.2899932861328,2687549952.0,350160865202.22656
2022-10-13 00:00:00-04:00,AMD,,,
2022-10-13 00:00:00-04:00,BABA,75.01000213623047,2648859904.0,198690987057.61523
2022-10-13 00:00:00-04:00,AMZN,,,
2022-10-13 00:00:00-04:00,AAPL,,,
2022-10-13 00:00:00-04:00,BIDU,107.1500015258789,350600000.0,37566790534.973145
2022-10-14 00:00:00-04:00,GOOGL,96.55999755859375,13084399616.0,1263429594976.625
2022-10-14 00:00:00-04:00,TCEHY,,,
2022-10-14 00:00:00-04:00,TSLA,,,
2022-10-14 00:00:00-04:00,MSFT,,,
2022-10-14 00:00:00-04:00,META,,,
2022-10-14 00:00:00-04:00,AMD,,,
2022-10-14 00:00:00-04:00,BABA,73.0199966430664,2616920064.0,191087494288.45312
2022-10-14 00:00:00-04:00,AMZN,,,
2022-10-14 00:00:00-04:00,AAPL,,,
2022-10-14 00:00:00-04:00,BIDU,100.29000091552734,335896992.0,33687109635.20288
2022-10-18 00:00:00-04:00,GOOGL,100.7699966430664,13093900288.0,1319472288066.4062
2022-10-18 00:00:00-04:00,TCEHY,30.081863403320312,9446479872.0,284167717151.71875
2022-10-18 00:00:00-04:00,TSLA,,,
2022-10-18 00:00:00-04:00,MSFT,,,
2022-10-18 00:00:00-04:00,META,,,
2022-10-18 00:00:00-04:00,AMD,,,
2022-10-18 00:00:00-04:00,BABA,76.33999633789062,2572689920.0,196399139071.32812
2022-10-18 00:00:00-04:00,AMZN,,,
2022-10-18 00:00:00-04:00,AAPL,,,
2022-10-18 00:00:00-04:00,BIDU,102.29000091552734,341751008.0,34957710921.20239
2022-10-19 00:00:00-04:00,GOOGL,99.62999725341797,13081900032.0,1303349664257.6484
2022-10-19 00:00:00-04:00,TCEHY,28.4321231842041,9727960064.0,276586558870.666
2022-10-19 00:00:00-04:00,TSLA,,,
2022-10-19 00:00:00-04:00,MSFT,,,
2022-10-19 00:00:00-04:00,META,,,
2022-10-19 00:00:00-04:00,AMD,,,
2022-10-19 00:00:00-04:00,BABA,71.2699966430664,2686210048.0,191446181103.53125
2022-10-19 00:00:00-04:00,AMZN,,,
2022-10-19 00:00:00-04:00,AAPL,,,
2022-10-19 00:00:00-04:00,BIDU,93.2699966430664,351512992.0,32785615583.83423
2022-10-26 00:00:00-04:00,GOOGL,94.93000030517578,13070499840.0,1240782553800.0
2022-10-26 00:00:00-04:00,TCEHY,26.263891220092773,9753820160.0,256173271662.5879
2022-10-26 00:00:00-04:00,TSLA,224.63999938964844,3157750016.0,709356961666.9023
2022-10-26 00:00:00-04:00,MSFT,,,
2022-10-26 00:00:00-04:00,META,,,
2022-10-26 00:00:00-04:00,AMD,,,
2022-10-26 00:00:00-04:00,BABA,68.51000213623047,2714380032.0,185962181790.86133
2022-10-26 00:00:00-04:00,AMZN,,,
2022-10-26 00:00:00-04:00,AAPL,,,
2022-10-26 00:00:00-04:00,BIDU,84.19000244140625,347561984.0,29261244281.5
2022-11-01 00:00:00-04:00,GOOGL,90.47000122070312,12952699904.0,1171830776126.2812
2022-11-01 00:00:00-04:00,TCEHY,,,
2022-11-01 00:00:00-04:00,TSLA,,,
2022-11-01 00:00:00-04:00,MSFT,,,
2022-11-01 00:00:00-04:00,META,,,
2022-11-01 00:00:00-04:00,AMD,,,
2022-11-01 00:00:00-04:00,BABA,,,
2022-11-01 00:00:00-04:00,AMZN,,,
2022-11-01 00:00:00-04:00,AAPL,149.56451416015625,15908100096.0,2379287262069.375
2022-11-01 00:00:00-04:00,BIDU,,,
2022-11-08 00:00:00-05:00,GOOGL,88.9000015258789,12671899648.0,1126531898042.9844
2022-11-08 00:00:00-05:00,TCEHY,,,
2022-11-08 00:00:00-05:00,TSLA,191.3000030517578,3324229888.0,635925187719.1445
2022-11-08 00:00:00-05:00,MSFT,,,
2022-11-08 00:00:00-05:00,META,96.47000122070312,2488979968.0,240111900551.26562
2022-11-08 00:00:00-05:00,AMD,,,
2022-11-08 00:00:00-05:00,BABA,68.12999725341797,2705479936.0,184324340608.85742
2022-11-08 00:00:00-05:00,AMZN,,,
2022-11-08 00:00:00-05:00,AAPL,,,
2022-11-08 00:00:00-05:00,BIDU,,,
2022-11-10 00:00:00-05:00,GOOGL,93.94000244140625,12948599808.0,1216391497576.3125
2022-11-10 00:00:00-05:00,TCEHY,29.71420669555664,9851599872.0,292732474878.52734
2022-11-10 00:00:00-05:00,TSLA,190.72000122070312,3157750016.0,602246086906.1953
2022-11-10 00:00:00-05:00,MSFT,,,
